full_name,title,release_year,category,won
Chadwick Boseman,Black Panther,2018,CAST IN A MOTION PICTURE,TRUE
Idris Elba,Beasts Of No Nation,2015,MALE SUPPORTING ROLE,TRUE
Sandra Bullock,Crash,2004,CAST IN A MOTION PICTURE,TRUE
Eileen Atkins,Gosford Park,2001,CAST IN A MOTION PICTURE,TRUE
Cate Blanchett,Blue Jasmine,2013,FEMALE LEAD ROLE,TRUE
Brad Pitt,Inglourious Basterds,2009,CAST IN A MOTION PICTURE,TRUE
Brie Larson,Room,2015,FEMALE LEAD ROLE,TRUE
Matthew Mcconaughey,Dallas Buyers Club,2013,MALE LEAD ROLE,TRUE
Kevin Spacey,American Beauty,1999,MALE LEAD ROLE,TRUE
Kevin Spacey,American Beauty,1999,CAST IN A MOTION PICTURE,TRUE
Jack Nicholson,As Good As It Gets,1997,MALE LEAD ROLE,TRUE
Christopher Walken,Catch Me If You Can,2002,MALE SUPPORTING ROLE,TRUE
Daniel Day-Lewis,Lincoln,2012,MALE LEAD ROLE,TRUE
